,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2020,,
COUNTY,Harvested Area (HA),Production (MT),Yield (MT/HA),Harvested Area (HA),Production (MT),Yield (MT/HA),Harvested Area (HA),Production (MT),Yield (MT/HA),Harvested Area (HA),Production (MT),Yield (MT/HA),Harvested Area (HA),Production (MT),Yield (MT/HA), Area (HA)  2017, Production (MT)  2017,Yield(MT/HA),Area Ha 2018,Quantity Ton 2018,Yield(MT/HA),Area (Ha) 2020,Production (MT) 2020,Yield (MT/HA)
Nyeri," 33,593 "," 26,067 ",0.78," 61,416 "," 48,167 ",0.78," 61,543 "," 44,281 ",0.72," 29,054 "," 38,404 ",1.32,"23,039","12,508",0.54,"36,157","30,844",0.85,28631,39049.06,1.36,"17,660",39170,2.21800679501699
Samburu," 1,227 "," 1,024 ",0.83," 1,265 "," 1,649 ",1.30," 1,973 "," 2,064 ",1.05," 3,780 ", 724 ,0.19,"7,391","15,750",2.13,"5,519","10,438",1.89,8010,4364,0.54,"26,521",26251.33,0.989831831378907
Siaya," 76,385 "," 97,513 ",1.28," 72,110 "," 115,808 ",1.61," 78,132 "," 123,562 ",1.58," 79,036 "," 129,139 ",1.63,"71,410","60,496",0.85,"64,999","79,450",1.22,66766,87638.45,1.31,"10,320",9756,0.945348837209302
Taita/Taveta," 13,986 "," 5,113 ",0.37," 15,592 "," 16,699 ",1.07, 653 , 823 ,1.26," 16,623 "," 12,292 ",0.74,"16,508","9,519",0.58,"17,516","11,050",0.63,18977,20364,1.07,"63,493",72350.88,1.1395095522341
Tana River," 6,269 "," 5,357 ",0.85," 8,290 "," 9,513 ",1.15," 9,582 "," 11,390 ",1.19," 4,598 "," 5,408 ",1.18,"6,122","8,739",1.43,"5,001","5,203",1.04,4819,3536,0.73,"10,006",15025.31,1.50163002198681
Tharaka-Nthi," 26,779 "," 38,192 ",1.43," 30,026 "," 24,515 ",0.82," 29,916 "," 25,471 ",0.85," 30,985 "," 42,938 ",1.39,"31,010","21,964",0.71,"26,267","18,223",0.69,24436,19128.5,0.78,"5,666",7432.5,1.31177197317331
Trans Nzoia," 104,421 "," 432,342 ",4.14," 105,310 "," 425,301 ",4.04," 106,778 "," 451,348 ",4.23," 106,800 "," 413,415 ",3.87,"106,303","406,434",3.82,"106,557","393,669",3.69,107681,548196.01,5.09,"18,591",11251.1,0.605190683664139
Turkana," 2,252 "," 3,529 ",1.57," 1,626 "," 3,041 ",1.87," 1,310 "," 2,154 ",1.64," 3,842 "," 2,428 ",0.63,"5,962","7,091",1.19,"4,232","2,742",0.65,4245.84,3741.008,0.88,"2,475",2581.73,1.04333400687007
Uasin Gishu," 91,310 "," 257,649 ",2.82," 88,790 "," 363,562 ",4.09," 96,654 "," 380,227 ",3.93," 104,078 "," 405,121 ",3.89,"102,753","405,440",3.95,"101,279","316,041",3.12,95209,405459.6796875,4.26,"106,999",379318.77,3.54506836512491
Vihiga," 18,010 "," 27,857 ",1.55," 24,195 "," 36,241 ",1.50," 23,772 "," 36,605 ",1.54," 35,105 "," 43,927 ",1.25,"35,783","50,289",1.41,"29,190","43,374",1.49,25090,35129,1.40,"25,134",31281.03,1.24457030317498
Wajir, 268 , 191 ,0.71, 550 , 375 ,0.68, 660 , 112 ,0.17, 84 , 38 ,0.45,0,0,0.00,306,398,1.30,610,1034,1.70,98,36.7,0.376410256410256
West Pokot," 33,035 "," 110,674 ",3.35," 19,380 "," 54,746 ",2.82," 19,748 "," 46,341 ",2.35," 33,124 "," 60,251 ",1.82,"29,143","69,151",2.37,"34,450","51,597",1.50,32172,61840,1.92,"15,000",23400,1.56
